Rank,Release Group,Worldwide,Domestic,%,Foreign,%
175,Vanangaan,"$56,449",-,-,"$56,449",100%
176,Bez trenek,"$52,981",-,-,"$52,981",100%
177,Birdeater,"$50,909",-,-,"$50,909",100%
178,Chetyre chetverti,"$46,941",-,-,"$46,941",100%
179,Itoiz Udako Sesioak,"$46,333",-,-,"$46,333",100%
180,Cellar Door,"$39,830",-,-,"$39,830",100%
181,Love Never Dies 2025 Re-release,"$39,162",-,-,"$39,162",100%
182,La mitad de Ana,"$38,485",-,-,"$38,485",100%
183,Extremely Unique Dynamic,"$38,207","$38,207",100%,-,-
184,DIG! XX,"$37,155","$37,155",100%,-,-
185,Sarah & Duck on the Big Screen,"$36,700",-,-,"$36,700",100%
186,Yeh Jawaani Hai Deewani 2025 Re-release,"$36,154",-,-,"$36,154",100%
187,Mult v kino. Vol. 178,"$35,932",-,-,"$35,932",100%
188,The Wrath of God,"$34,178",-,-,"$34,178",100%
189,Blue Road: The Edna O'Brien Story,"$33,684",-,-,"$33,684",100%
190,Detective Conan: The Fourteenth Target,"$30,953",-,-,"$30,953",100%
191,Yahuda,"$28,044",-,-,"$28,044",100%
192,Sukkar 2,"$27,990",-,-,"$27,990",100%
193,Dirty Angels,"$27,229",-,-,"$27,229",100%
194,Cornell's Box,"$26,875",-,-,"$26,875",100%
195,Boundless,"$26,050",-,-,"$26,050",100%
196,Once Upon a Time in Indochine,"$25,872",-,-,"$25,872",100%
197,Ghost Project,"$24,642",-,-,"$24,642",100%
198,The Party's Over,"$24,160",-,-,"$24,160",100%
199,Narayaneente Moonnaanmakkal,"$23,613",-,-,"$23,613",100%
200,Yumurtalar Firarda: Buz Macerasi,"$23,230",-,-,"$23,230",100%
