Rank,Release Group,Worldwide,Domestic,%,Foreign,%
150,Une guitare à la mer,"$127,215",-,-,"$127,215",100%
151,F*cks News demandados en pantalla grande,"$126,365",-,-,"$126,365",100%
152,Kang Mak,"$124,056",-,-,"$124,056",100%
153,Majhail,"$120,161",-,-,"$120,161",100%
154,FolleMente,"$119,489",-,-,"$119,489",100%
155,Dismantling an Elephant,"$116,267",-,-,"$116,267",100%
156,Julie Keeps Quiet,"$108,117",-,-,"$108,117",100%
157,Fateh,"$101,332",-,-,"$101,332",100%
158,(G)I-dle World Tour [iDOL] in Cinemas,"$100,077",-,-,"$100,077",100%
159,Holka od vedle,"$96,729",-,-,"$96,729",100%
160,"Red Velvet Happiness Diary : My Dear, ReVe1uv in Cinemas","$96,260",-,-,"$96,260",100%
161,Norbert(a),"$96,027",-,-,"$96,027",100%
162,ELMESTRAI7A,"$94,435",-,-,"$94,435",100%
163,Storm City,"$94,138",-,-,"$94,138",100%
164,Par amour,"$91,565",-,-,"$91,565",100%
165,Into the Deep,"$87,338",-,-,"$87,338",100%
166,Filmlovers!,"$86,123",-,-,"$86,123",100%
167,Don't close your eyes,"$85,366",-,-,"$85,366",100%
168,Duel in trei,"$85,068",-,-,"$85,068",100%
169,A Boat in the Garden,"$83,389",-,-,"$83,389",100%
170,And the Breadwinner Is...,"$82,649",-,-,"$82,649",100%
171,Loveyapa,"$79,082",-,-,"$79,082",100%
172,Shaman,"$78,967",-,-,"$78,967",100%
173,Hoshiar Singh,"$75,483",-,-,"$75,483",100%
174,Across the Sea,"$72,942",-,-,"$72,942",100%
175,Kadhalikka Neramillai,"$70,834",-,-,"$70,834",100%
176,All for One,"$70,108",-,-,"$70,108",100%
177,My Rozhaem,"$69,374",-,-,"$69,374",100%
178,6 Days,"$66,595",-,-,"$66,595",100%
179,Kudumbasthan,"$64,479",-,-,"$64,479",100%
180,Askin Dünkü Çocuklari,"$64,016",-,-,"$64,016",100%
181,The Bayou,"$62,907",-,-,"$62,907",100%
182,Honey Money Phony,"$61,869",-,-,"$61,869",100%
183,Baby Blue,"$61,167",-,-,"$61,167",100%
184,Tenement,"$58,701",-,-,"$58,701",100%
185,William Tell,"$58,569",-,-,"$58,569",100%
186,Empareja2,"$56,799",-,-,"$56,799",100%
187,Vanangaan,"$56,449",-,-,"$56,449",100%
188,Bez trenek,"$52,981",-,-,"$52,981",100%
189,Birdeater,"$50,909",-,-,"$50,909",100%
190,Chetyre chetverti,"$46,941",-,-,"$46,941",100%
191,Itoiz Udako Sesioak,"$46,333",-,-,"$46,333",100%
192,Oru Jaathi Jaathakam,"$43,081",-,-,"$43,081",100%
193,The Crucifix: Blood of the Exorcist,"$43,031",-,-,"$43,031",100%
194,Universal Language,"$41,120","$41,120",100%,-,-
195,Cellar Door,"$39,830",-,-,"$39,830",100%
196,Love Never Dies 2025 Re-release,"$39,162",-,-,"$39,162",100%
197,La mitad de Ana,"$38,485",-,-,"$38,485",100%
198,Extremely Unique Dynamic,"$38,207","$38,207",100%,-,-
199,DIG! XX,"$37,155","$37,155",100%,-,-
200,Sarah & Duck on the Big Screen,"$36,700",-,-,"$36,700",100%
